datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,temp_level,demand_level,humidity_risk,high_demand,hour,day,month,is_weekend
2011-01-01,1,0,0,1,-1.3152809974311201,-1.0738642806766567,0.9797024651051098,-1.5639519043477323,3,13,-1.0239933885623094,Cold,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,1,-1.4207198644498586,-1.1636617647865104,0.9276914049337911,-1.5639519043477323,8,32,-0.8700581387131894,Cold,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,1,-1.4207198644498586,-1.1636617647865104,0.9276914049337911,-1.5639519043477323,5,27,-0.9213698886628962,Cold,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,1,-1.3152809974311201,-1.0738642806766567,0.6676361040771972,-1.5639519043477323,3,10,-1.0432352947934496,Cold,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,1,-1.3152809974311201,-1.0738642806766567,0.6676361040771972,-1.5639519043477323,0,1,-1.1202029197180094,Cold,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,2,-1.3152809974311201,-1.252868475974589,0.6676361040771972,-0.8294422892273969,0,1,-1.1202029197180094,Cold,Low,450.23999999999995,0,0,1,1,1
2011-01-01,1,0,0,1,-1.4207198644498586,-1.1636617647865104,0.9276914049337911,-1.5639519043477323,2,0,-1.1137889509742962,Cold,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,1,-1.5261587314685974,-1.252868475974589,1.2397577659617038,-1.5639519043477323,1,2,-1.1073749822305827,Cold,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,1,-1.3152809974311201,-1.0738642806766567,0.6676361040771972,-1.5639519043477323,1,7,-1.075305138512016,Cold,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,1,-0.8935255293561659,-0.7158558900807918,0.7196471642485159,-1.5639519043477323,8,6,-1.036821326049736,Mild,Low,0.0,0,0,1,1,1
2011-01-01,1,0,0,1,-0.5772089282999501,-0.4476449835947809,0.7196471642485159,0.515792396500807,12,24,-0.8957140136880428,Mild,Low,1291.8404,0,0,1,1,1
2011-01-01,1,0,0,1,-0.6826477953186887,-0.8056533741906459,0.9797024651051098,0.760902189939401,26,30,-0.767434638813776,Mild,Low,1539.0972000000002,0,0,1,1,1
2011-01-01,1,0,0,1,-0.36633119426247307,-0.26864078829684845,0.7716582244198348,0.760902189939401,29,55,-0.5878435139898027,Mild,Low,1463.0924,0,0,1,1,1
2011-01-01,1,0,0,2,-0.15545346022499584,-0.089636592998916,0.5116029235632408,0.8830472040609747,47,47,-0.5237038265526693,Mild,Low,1439.9640000000002,0,0,1,1,1
2011-01-01,1,0,0,2,-0.15545346022499584,-0.089636592998916,0.5116029235632408,0.760902189939401,35,71,-0.44673620162810934,Mild,Medium,1368.0864000000001,0,0,1,1,1
2011-01-01,1,0,0,2,-0.26089232724373446,-0.17884330418699482,0.7716582244198348,0.8830472040609747,40,70,-0.421080326653256,Mild,Medium,1539.9615000000001,0,0,1,1,1
2011-01-01,1,0,0,2,-0.36633119426247307,-0.26864078829684845,1.0317135252764287,0.8830472040609747,41,52,-0.5301177952963827,Mild,Low,1639.959,0,0,1,1,1
2011-01-01,1,0,0,2,-0.26089232724373446,-0.17884330418699482,1.0317135252764287,0.760902189939401,15,52,-0.6968809826329294,Mild,Low,1558.0984,0,0,1,1,1
2011-01-01,1,0,0,3,-0.36633119426247307,-0.26864078829684845,1.3437798863043413,0.515792396500807,9,26,-0.9021279824317561,Mild,Low,1495.8152,0,0,1,1,1
2011-01-01,1,0,0,3,-0.36633119426247307,-0.26864078829684845,1.3437798863043413,0.515792396500807,6,31,-0.8893000449443295,Mild,Low,1495.8152,0,0,1,1,1
2011-01-01,1,0,0,2,-0.4717700612812117,-0.3578474994849273,1.2917688261330227,0.515792396500807,11,25,-0.8957140136880428,Mild,Low,1478.8173000000002,0,0,1,1,1
2011-01-01,1,0,0,2,-0.4717700612812117,-0.3578474994849273,1.2917688261330227,0.02639257481906535,3,31,-0.9085419511754694,Mild,Low,1130.826,0,0,1,1,1
2011-01-01,1,0,0,2,-0.4717700612812117,-0.3578474994849273,1.6558462473322542,0.27150236825765955,11,17,-0.9470257636377495,Mild,Low,1410.1222,0,0,1,1,1
2011-01-01,1,0,0,2,-0.15545346022499584,-0.089636592998916,1.3437798863043413,0.8830472040609747,15,24,-0.8764721074569027,Mild,Low,1759.9560000000001,0,0,1,1,1
2011-01-02,1,0,0,2,-0.15545346022499584,-0.089636592998916,1.3437798863043413,0.8830472040609747,4,13,-1.0175794198185961,Mild,Low,1759.9560000000001,0,0,2,1,1
2011-01-02,1,0,0,2,-0.26089232724373446,-0.17884330418699482,1.6558462473322542,0.515792396500807,1,16,-1.0175794198185961,Mild,Low,1597.8026000000002,0,0,2,1,1
2011-01-02,1,0,0,2,-0.36633119426247307,-0.26864078829684845,1.9679126083601668,0.760902189939401,1,8,-1.0688911697683028,Mild,Low,1900.1200000000001,0,0,2,1,1
2011-01-02,1,0,0,2,-0.15545346022499584,-0.089636592998916,1.6558462473322542,0.02639257481906535,2,4,-1.0881330759994428,Mild,Low,1221.812,0,0,2,1,1
2011-01-02,1,0,0,2,-0.15545346022499584,-0.089636592998916,1.6558462473322542,0.02639257481906535,2,1,-1.1073749822305827,Mild,Low,1221.812,0,0,2,1,1
2011-01-02,1,0,0,3,-0.36633119426247307,-0.26864078829684845,0.7716582244198348,0.8830472040609747,0,2,-1.1137889509742962,Mild,Low,1539.9615000000001,0,0,2,1,1
2011-01-02,1,0,0,2,-0.4717700612812117,-0.3578474994849273,0.7196471642485159,0.02639257481906535,0,1,-1.1202029197180094,Mild,Low,987.848,0,0,2,1,1
2011-01-02,1,0,0,3,-0.4717700612812117,-0.3578474994849273,0.45959186339192204,0.27150236825765955,0,8,-1.075305138512016,Mild,Low,1065.0923,0,0,2,1,1
2011-01-02,1,0,0,2,-0.5772089282999501,-0.4476449835947809,0.7196471642485159,0.27150236825765955,1,19,-0.9983375135874561,Mild,Low,1140.0988,0,0,2,1,1
2011-01-02,1,0,0,2,-0.6826477953186887,-0.7158558900807918,0.9797024651051098,0.27150236825765955,7,46,-0.7866765450449161,Mild,Low,1215.1053,0,0,2,1,1
2011-01-02,1,0,0,2,-0.6826477953186887,-0.8056533741906459,0.45959186339192204,0.515792396500807,16,54,-0.6776390764017893,Mild,Low,1206.8509000000001,0,0,2,1,1
2011-01-02,1,0,0,2,-0.6826477953186887,-0.8056533741906459,0.19953656253532812,0.8830472040609747,20,73,-0.5301177952963827,Mild,Low,1319.967,0,0,2,1,1
2011-01-02,1,0,0,2,-0.6826477953186887,-0.7158558900807918,0.19953656253532812,-0.4630072468626758,11,64,-0.6455692326832227,Mild,Low,593.8746000000001,0,0,2,1,1
2011-01-02,1,0,0,3,-0.6826477953186887,-0.7158558900807918,0.7196471642485159,0.02639257481906535,4,55,-0.7481927325826361,Mild,Low,987.848,0,0,2,1,1
2011-01-02,1,0,0,3,-0.7880866623374273,-0.8056533741906459,0.9797024651051098,-0.21789745342408182,19,55,-0.651983201426936,Mild,Low,891.1134000000001,0,0,2,1,1
2011-01-02,1,0,0,3,-0.7880866623374273,-0.8056533741906459,0.45959186339192204,-0.21789745342408182,9,67,-0.6391552639395094,Mild,Low,781.0994000000001,0,0,2,1,1
